"Time","116001F","","116001F","","116001F","",""
"and","141.00","","141.00","","141.00","",""
"Date","Discharge (ML/day)","","Discharge (ML/day)","","Discharge (ML/day)","",""
"Date and time","Mean","Quality","Min","Quality","Max","Quality","Comments"
00:00:00 04/01/2010,    5145.056,     20,    4619.592,     20,    5627.189,     20, 
00:00:00 05/01/2010,    3608.278,     20,    2645.114,     20,    4619.592,     20, 
00:00:00 06/01/2010,    2049.096,     20,    1570.869,     20,    2645.114,     20, 
00:00:00 07/01/2010,    1419.564,     20,    1278.986,     20,    1570.869,     20, 
00:00:00 08/01/2010,    1172.705,     20,    1108.225,     20,    1278.986,     20, 
00:00:00 09/01/2010,    1224.585,     20,    1091.362,     20,    1749.168,     20, 
00:00:00 10/01/2010,    3183.097,     20,    1749.168,     20,    3834.873,     20, 
00:00:00 11/01/2010,    3776.773,     20,    3487.398,     20,    3874.867,     20, 
00:00:00 12/01/2010,    3450.347,     20,    3340.613,     20,    3551.040,     20, 
00:00:00 13/01/2010,    3454.269,     20,    3195.677,     20,    3646.728,     20, 
00:00:00 14/01/2010,    2579.062,     20,    2087.122,     20,    3195.677,     20, 
00:00:00 15/01/2010,    1742.819,     20,    1490.328,     20,    2087.122,     20, 
00:00:00 16/01/2010,    1371.159,     20,    1275.653,     20,    1490.328,     20, 
00:00:00 17/01/2010,    1190.464,     20,    1112.760,     20,    1275.653,     20, 
00:00:00 18/01/2010,    1059.429,     20,    1016.600,     20,    1112.760,     20, 
00:00:00 19/01/2010,     991.165,     20,     970.031,     20,    1016.600,     20, 
00:00:00 20/01/2010,     937.686,     20,     906.129,     20,     970.031,     20, 
00:00:00 21/01/2010,     880.426,     20,     868.234,     20,     906.129,     20, 
00:00:00 22/01/2010,     872.381,     20,     868.234,     20,     887.267,     20, 
00:00:00 23/01/2010,     997.651,     20,     887.267,     20,    1247.530,     20, 
00:00:00 24/01/2010,    2339.883,     20,    1247.530,     20,    4897.714,     20, 
00:00:00 25/01/2010,    9075.457,     10,    4897.714,     10,   24478.287,     10, 
00:00:00 26/01/2010,   24819.674,     10,   16479.591,     10,   30020.242,     10, 
00:00:00 27/01/2010,   14468.904,     10,   13506.221,     10,   16479.591,     10, 
00:00:00 28/01/2010,   21127.464,     10,   13480.733,     10,   31037.861,     10, 
00:00:00 29/01/2010,   34709.263,     10,   31037.861,     10,   37027.282,     10, 
00:00:00 30/01/2010,   56950.722,     30,   34034.083,     30,   86643.778,     30, 
00:00:00 31/01/2010,   93881.682,     30,   86643.778,     30,   99025.330,     30, 
00:00:00 01/02/2010,   81692.727,     30,   71679.125,     30,   87540.135,     30, 
00:00:00 02/02/2010,   57539.730,     10,   44159.688,     10,   71679.125,     10, 
00:00:00 03/02/2010,   33809.434,     10,   25418.751,     10,   44159.688,     10, 
00:00:00 04/02/2010,   20166.150,     10,   16141.767,     10,   25418.751,     10, 
00:00:00 05/02/2010,   13686.772,     10,   11986.229,     10,   16141.767,     10, 
00:00:00 06/02/2010,   10832.975,     10,    9865.498,     10,   11986.229,     10, 
00:00:00 07/02/2010,   10065.107,     10,    9477.907,     10,   10501.445,     10, 
00:00:00 08/02/2010,    8899.468,     10,    8509.450,     10,    9802.426,     10, 
00:00:00 09/02/2010,    9531.423,     10,    8949.528,     10,    9865.498,     10, 
00:00:00 10/02/2010,    9751.907,     10,    9488.318,     10,    9991.944,     10, 
00:00:00 11/02/2010,   12393.108,     10,    9781.387,     10,   21990.399,     10, 
00:00:00 12/02/2010,   27169.222,     10,   21916.311,     10,   30724.877,     10, 
00:00:00 13/02/2010,   17473.893,     10,   15260.357,     10,   21916.311,     10, 
00:00:00 14/02/2010,   19703.750,     10,   15286.838,     10,   24279.307,     10, 
00:00:00 15/02/2010,   24755.987,     10,   21783.125,     10,   26166.456,     10, 
00:00:00 16/02/2010,   19677.050,     10,   17782.978,     10,   21783.125,     10, 
00:00:00 17/02/2010,   23203.656,     10,   17782.978,     10,   34561.599,     10, 
00:00:00 18/02/2010,   39304.593,     10,   34561.599,     10,   50073.207,     10, 
00:00:00 19/02/2010,   70954.327,     30,   50073.207,     30,   86420.218,     30, 
00:00:00 20/02/2010,   86570.437,     30,   84787.258,     30,   89546.753,     30, 
00:00:00 21/02/2010,   83929.767,     30,   70973.477,     30,   89594.338,     30, 
00:00:00 22/02/2010,   56883.744,     20,   45214.128,     20,   70973.477,     20, 
00:00:00 23/02/2010,   37651.626,     20,   30227.065,     20,   45214.128,     20, 
00:00:00 24/02/2010,   25744.148,     20,   22300.791,     20,   30227.065,     20, 
00:00:00 25/02/2010,   20096.219,     30,   18200.938,     30,   22300.791,     30, 
00:00:00 26/02/2010,   31544.031,     30,   18075.226,     30,   52541.050,     30, 
00:00:00 27/02/2010,   67610.805,     30,   52541.050,     30,   81604.196,     30, 
00:00:00 28/02/2010,   54818.769,     30,   41877.864,     30,   75018.744,     30, 
00:00:00 01/03/2010,   48252.758,     30,   38130.135,     30,   53847.418,     30, 
00:00:00 02/03/2010,   31277.504,     30,   26558.539,     30,   38130.135,     30, 
00:00:00 03/03/2010,   23150.038,     30,   20046.312,     30,   26558.539,     30, 
00:00:00 04/03/2010,   18034.243,     30,   16114.853,     30,   20046.312,     30, 
00:00:00 05/03/2010,   14623.026,     30,   13328.150,     30,   16114.853,     30, 
00:00:00 06/03/2010,   12279.051,     30,   11417.414,     30,   13328.150,     30, 
