"Time","116001F","","116001F","","116001F","",""
"and","141.00","","141.00","","141.00","",""
"Date","Discharge (ML/day)","","Discharge (ML/day)","","Discharge (ML/day)","",""
"Date and time","Mean","Quality","Min","Quality","Max","Quality","Comments"
00:00:00 13/12/2013,     692.692,     30,     688.392,     30,     703.512,     30, 
00:00:00 14/12/2013,     681.872,     30,     673.488,     30,     693.403,     30, 
00:00:00 15/12/2013,     676.477,     30,     658.800,     30,     708.566,     30, 
00:00:00 16/12/2013,     629.515,     30,     611.323,     30,     658.800,     30, 
00:00:00 17/12/2013,     601.660,     30,     592.963,     30,     615.989,     30, 
00:00:00 18/12/2013,     560.267,     30,     544.277,     30,     592.963,     30, 
00:00:00 19/12/2013,     527.800,     30,     518.832,     30,     544.277,     30, 
00:00:00 20/12/2013,     514.804,     30,     506.434,     30,     527.256,     30, 
00:00:00 21/12/2013,     539.105,     30,     523.022,     30,     574.949,     30, 
00:00:00 22/12/2013,     583.163,     30,     574.949,     30,     592.963,     30, 
00:00:00 23/12/2013,     611.069,     30,     592.963,     30,     639.533,     30, 
00:00:00 24/12/2013,     634.517,     30,     625.320,     30,     649.123,     30, 
00:00:00 25/12/2013,     599.646,     30,     583.891,     30,     625.320,     30, 
00:00:00 26/12/2013,     554.642,     30,     535.723,     30,     583.891,     30, 
00:00:00 27/12/2013,     529.207,     30,     518.832,     30,     540.000,     30, 
00:00:00 28/12/2013,     517.104,     30,     502.330,     30,     531.490,     30, 
00:00:00 29/12/2013,     487.831,     30,     474.206,     30,     506.434,     30, 
00:00:00 30/12/2013,     459.608,     30,     447.120,     30,     478.181,     30, 
00:00:00 31/12/2013,     433.453,     30,     421.070,     30,     450.965,     30, 
00:00:00 01/01/2014,     407.327,     30,     399.514,     30,     421.070,     30, 
00:00:00 02/01/2014,     389.048,     30,     378.691,     30,     403.056,     30, 
00:00:00 03/01/2014,     383.576,     30,     375.278,     30,     395.971,     30, 
00:00:00 04/01/2014,     373.069,     30,     361.843,     30,     385.517,     30, 
00:00:00 05/01/2014,     355.536,     30,     345.514,     30,     368.496,     30, 
00:00:00 06/01/2014,     339.975,     30,     329.659,     30,     351.994,     30, 
00:00:00 07/01/2014,     326.476,     30,     317.304,     30,     339.120,     30, 
00:00:00 08/01/2014,     332.665,     30,     323.438,     30,     345.514,     30, 
00:00:00 09/01/2014,     319.139,     30,     308.232,     30,     329.659,     30, 
00:00:00 10/01/2014,     363.637,     30,     329.659,     30,     395.971,     30, 
00:00:00 11/01/2014,     515.717,     30,     395.971,     30,     592.963,     30, 
00:00:00 12/01/2014,     859.012,     30,     592.963,     30,    1104.710,     30, 
00:00:00 13/01/2014,     932.641,     30,     832.032,     30,    1071.187,     30, 
00:00:00 14/01/2014,     786.212,     30,     750.082,     30,     832.032,     30, 
00:00:00 15/01/2014,     740.343,     30,     713.707,     30,     755.395,     30, 
00:00:00 16/01/2014,     929.764,     30,     755.395,     30,    1071.187,     30, 
00:00:00 17/01/2014,    1340.505,     30,    1071.187,     30,    1494.374,     30, 
00:00:00 18/01/2014,    1411.254,     30,    1274.789,     30,    1514.808,     30, 
00:00:00 19/01/2014,    1141.086,     30,    1019.002,     30,    1274.789,     30, 
00:00:00 20/01/2014,     916.506,     30,     843.350,     30,    1019.002,     30, 
00:00:00 21/01/2014,     782.927,     30,     750.082,     30,     843.350,     30, 
00:00:00 22/01/2014,     713.736,     30,     693.403,     30,     750.082,     30, 
00:00:00 23/01/2014,     679.715,     30,     668.563,     30,     698.458,     30, 
00:00:00 24/01/2014,     651.635,     30,     639.533,     30,     673.488,     30, 
00:00:00 25/01/2014,     640.126,     30,     625.320,     30,     658.800,     30, 
00:00:00 26/01/2014,     592.869,     30,     561.686,     30,     625.320,     30, 
00:00:00 27/01/2014,     776.206,     30,     597.499,     30,     993.470,     30, 
00:00:00 28/01/2014,    1694.852,     30,     993.470,     30,    2203.546,     30, 
00:00:00 29/01/2014,    2474.194,     30,    2203.546,     30,    2557.310,     30, 
00:00:00 30/01/2014,    2341.837,     60,    2153.045,     60,    2548.109,     60, 
00:00:00 31/01/2014,    1948.437,     20,    1848.571,     20,    2153.045,     20, 
00:00:00 01/02/2014,    1691.450,     20,    1563.192,     20,    1856.261,     20, 
00:00:00 02/02/2014,    1525.311,     20,    1414.066,     20,    1902.701,     20, 
00:00:00 03/02/2014,    7942.617,     20,    1902.701,     20,   13087.656,     20, 
00:00:00 04/02/2014,    8515.085,     20,    6044.544,     20,   12124.598,     20, 
00:00:00 05/02/2014,    7579.336,     20,    4698.691,     20,   23367.399,     20, 
00:00:00 06/02/2014,   29428.061,     10,   23367.399,     10,   31866.135,     10, 
00:00:00 07/02/2014,   39177.885,     10,   24371.064,     10,   75703.637,     10, 
00:00:00 08/02/2014,  112169.071,     10,   75703.637,     10,  131547.284,     10, 
00:00:00 09/02/2014,  151931.549,     10,   89569.196,     10,  197587.816,     10, 
00:00:00 10/02/2014,  117149.174,     10,   87540.135,     10,  162992.975,     10, 
00:00:00 11/02/2014,   72383.221,     10,   58005.720,     10,   87540.135,     10, 
00:00:00 12/02/2014,   48675.065,     10,   40061.779,     10,   58005.720,     10, 
00:00:00 13/02/2014,   33061.534,     10,   27189.648,     10,   40061.779,     10, 
00:00:00 14/02/2014,   23485.371,     10,   20392.949,     10,   27189.648,     10, 
00:00:00 15/02/2014,   18044.455,     10,   15966.936,     10,   20392.949,     10, 
00:00:00 16/02/2014,   14297.459,     10,   12873.643,     10,   15966.936,     10, 
00:00:00 17/02/2014,   11803.333,     20,   10921.392,     20,   12873.643,     20, 
00:00:00 18/02/2014,   14766.333,     20,   10983.643,     20,   17755.243,     20, 
00:00:00 19/02/2014,   14461.373,     10,   13252.075,     10,   15859.671,     10, 
00:00:00 20/02/2014,   14365.794,     10,   13252.075,     10,   15194.218,     10, 
00:00:00 21/02/2014,   14515.651,     10,   14238.763,     10,   15009.494,     10, 
00:00:00 22/02/2014,   17811.047,     10,   14786.150,     10,   19273.075,     10, 
00:00:00 23/02/2014,   18250.606,     10,   16642.541,     10,   19330.013,     10, 
00:00:00 24/02/2014,   18045.197,     10,   17065.771,     10,   18946.570,     10, 
00:00:00 25/02/2014,   19064.614,     10,   17852.443,     10,   19687.147,     10, 
00:00:00 26/02/2014,   16682.254,     20,   15180.998,     20,   17852.443,     20, 
00:00:00 27/02/2014,   13864.256,     20,   12961.642,     20,   15180.998,     20, 
00:00:00 28/02/2014,   11979.391,     20,   11033.496,     20,   12961.642,     20, 
00:00:00 01/03/2014,   10196.070,     30,    9582.710,     30,   11033.496,     30, 
00:00:00 02/03/2014,    8994.877,     20,    8452.771,     20,    9582.710,     20, 
00:00:00 03/03/2014,    7952.207,     20,    7634.779,     20,    8464.176,     20, 
00:00:00 04/03/2014,    7552.497,     20,    7448.414,     20,    7700.918,     20, 
00:00:00 05/03/2014,    7862.248,     20,    7448.414,     20,    8225.842,     20, 
00:00:00 06/03/2014,    7839.374,     20,    7470.230,     20,    8180.698,     20, 
00:00:00 07/03/2014,    7043.614,     20,    6662.650,     20,    7470.230,     20, 
00:00:00 08/03/2014,    6565.520,     20,    6520.608,     20,    6662.650,     20, 
00:00:00 09/03/2014,    6315.656,     20,    6104.851,     20,    6520.608,     20, 
00:00:00 10/03/2014,    5865.314,     20,    5617.685,     20,    6104.851,     20, 
00:00:00 11/03/2014,    5443.707,     20,    5305.651,     20,    5617.685,     20, 
00:00:00 12/03/2014,    5208.053,     20,    5125.982,     20,    5305.651,     20, 
00:00:00 13/03/2014,    5042.256,     20,    4923.072,     20,    5125.982,     20, 
00:00:00 14/03/2014,    4723.615,     20,    4556.693,     20,    4936.464,     20, 
00:00:00 15/03/2014,    4363.471,     20,    4206.298,     20,    4556.693,     20, 
00:00:00 16/03/2014,    4050.281,     20,    3930.336,     20,    4206.298,     20, 
00:00:00 17/03/2014,    3793.198,     20,    3721.766,     20,    3930.336,     20, 
00:00:00 18/03/2014,    3641.309,     20,    3575.102,     20,    3721.766,     20, 
00:00:00 19/03/2014,    3474.865,     20,    3399.235,     20,    3575.102,     20, 
00:00:00 20/03/2014,    3423.838,     20,    3377.592,     20,    3541.752,     20, 
00:00:00 21/03/2014,   10056.095,     20,    3541.752,     20,   29401.747,     20, 
00:00:00 22/03/2014,   65988.535,     10,   29401.747,     10,   79065.893,     10, 
00:00:00 23/03/2014,   65277.161,     10,   57266.136,     10,   72579.154,     10, 
00:00:00 24/03/2014,   43980.040,     10,   37498.723,     10,   57266.136,     10, 
00:00:00 25/03/2014,   38814.109,     10,   33796.656,     10,   42059.002,     10, 
00:00:00 26/03/2014,   32218.576,     10,   30134.592,     10,   33796.656,     10, 
00:00:00 27/03/2014,   49099.487,     10,   30330.979,     10,   64751.098,     10, 
00:00:00 28/03/2014,   53541.945,     10,   45546.711,     10,   64419.797,     10, 
00:00:00 29/03/2014,   40753.047,     10,   35211.672,     10,   45546.711,     10, 
00:00:00 30/03/2014,   30902.943,     10,   27506.909,     10,   35211.672,     10, 
00:00:00 31/03/2014,   24977.361,     10,   22227.999,     10,   27506.909,     10, 
00:00:00 01/04/2014,   19520.566,     10,   17395.647,     10,   22227.999,     10, 
00:00:00 02/04/2014,   15930.725,     10,   14616.029,     10,   17395.647,     10, 
00:00:00 03/04/2014,   13559.312,     10,   12535.949,     10,   14616.029,     10, 
00:00:00 04/04/2014,   11684.250,     20,   10946.275,     20,   12535.949,     20, 
00:00:00 05/04/2014,   10501.718,     20,   10208.117,     20,   10946.275,     20, 
00:00:00 06/04/2014,   10112.361,     20,    9690.019,     20,   10305.490,     20, 
00:00:00 07/04/2014,    9090.833,     20,    8555.544,     20,    9690.019,     20, 
00:00:00 08/04/2014,    8206.567,     20,    7956.317,     20,    8555.544,     20, 
00:00:00 09/04/2014,    8236.547,     20,    7878.298,     20,    9110.923,     20, 
00:00:00 10/04/2014,    9187.932,     20,    8936.093,     20,    9263.376,     20, 
00:00:00 11/04/2014,    8600.114,     20,    8361.749,     20,    9192.917,     20, 
00:00:00 12/04/2014,   26884.751,     20,    9192.917,     20,   91197.101,     20, 
00:00:00 13/04/2014,  600440.964,     30,   91197.101,     30,  900091.532,     30, 
00:00:00 14/04/2014,  476872.238,     30,  192185.872,     30,  863989.638,     30, 
00:00:00 15/04/2014,  146687.415,     10,  123279.798,     10,  192185.872,     10, 
00:00:00 16/04/2014,   99405.096,     10,   72879.912,     10,  123279.798,     10, 
00:00:00 17/04/2014,   54401.723,     10,   40885.819,     10,   72879.912,     10, 
00:00:00 18/04/2014,   34400.129,     10,   29580.379,     10,   40885.819,     10, 
00:00:00 19/04/2014,   26815.812,     10,   24264.015,     10,   29580.379,     10, 
00:00:00 20/04/2014,   22235.794,     10,   20306.117,     10,   24264.015,     10, 
00:00:00 21/04/2014,   18738.400,     10,   17423.208,     10,   20306.117,     10, 
00:00:00 22/04/2014,   16389.334,     10,   15446.074,     10,   17423.208,     10, 
00:00:00 23/04/2014,   14725.708,     10,   14057.712,     10,   15446.074,     10, 
00:00:00 24/04/2014,   13634.130,     10,   13429.800,     10,   14057.712,     10, 
00:00:00 25/04/2014,   14758.296,     10,   13723.430,     10,   15472.642,     10, 
00:00:00 26/04/2014,   13985.694,     10,   13075.042,     10,   14759.928,     10, 
00:00:00 27/04/2014,   12311.046,     30,   11816.582,     30,   13075.042,     30, 
00:00:00 28/04/2014,   11258.456,     30,   10772.438,     30,   11816.582,     30, 
00:00:00 29/04/2014,   10348.288,     30,   10002.182,     30,   10772.438,     30, 
00:00:00 30/04/2014,    9664.223,     30,    9357.595,     30,   10002.182,     30, 
00:00:00 01/05/2014,    9046.018,     30,    8762.429,     30,    9357.595,     30, 
00:00:00 02/05/2014,    8522.807,     20,    8293.709,     20,    8762.429,     20, 
00:00:00 03/05/2014,    8056.507,     20,    7822.742,     20,    8293.709,     20, 
00:00:00 04/05/2014,    7579.254,     20,    7383.010,     20,    7822.742,     20, 
00:00:00 05/05/2014,    7202.097,     20,    7058.923,     20,    7383.010,     20, 
00:00:00 06/05/2014,    6879.193,     30,    6716.693,     30,    7058.923,     30, 
00:00:00 07/05/2014,    6423.054,     30,    6244.560,     30,    6716.693,     30, 
00:00:00 08/05/2014,    6074.991,     30,    5935.594,     30,    6244.560,     30, 
00:00:00 09/05/2014,    5777.552,     30,    5649.437,     30,    5935.594,     30, 
00:00:00 10/05/2014,    5600.316,     30,    5537.160,     30,    5762.966,     30, 
00:00:00 11/05/2014,    5823.792,     30,    5734.454,     30,    5964.667,     30, 
00:00:00 12/05/2014,    5938.320,     30,    5848.934,     30,    6111.072,     30, 
00:00:00 13/05/2014,    6013.554,     30,    5877.749,     30,    6140.621,     30, 
00:00:00 14/05/2014,    5855.123,     30,    5791.522,     30,    5921.122,     30, 
00:00:00 15/05/2014,    6327.464,     30,    5848.934,     30,    6952.003,     30, 
00:00:00 16/05/2014,    6952.282,     30,    6825.946,     30,    7123.334,     30, 
00:00:00 17/05/2014,    6980.505,     30,    6810.264,     30,    7134.091,     30, 
00:00:00 18/05/2014,    7194.744,     30,    6810.264,     30,    7612.790,     30, 
00:00:00 19/05/2014,    9062.492,     20,    7612.790,     20,   11739.989,     20, 
00:00:00 20/05/2014,   12554.483,     20,   11739.989,     20,   12823.445,     20, 
00:00:00 21/05/2014,   11581.289,     20,   10933.834,     20,   12473.741,     20, 
00:00:00 22/05/2014,   12102.919,     20,   10933.834,     20,   13340.851,     20, 
00:00:00 23/05/2014,   12844.945,     10,   12635.698,     10,   13062.427,     10, 
00:00:00 24/05/2014,   12363.872,     20,   11625.466,     20,   13011.970,     20, 
00:00:00 25/05/2014,   10747.061,     20,   10074.715,     20,   11625.466,     20, 
00:00:00 26/05/2014,    9458.536,     20,    9040.853,     20,   10074.715,     20, 
00:00:00 27/05/2014,    8608.952,     20,    8327.707,     20,    9040.853,     20, 
00:00:00 28/05/2014,    8026.011,     20,    7800.538,     20,    8361.749,     20, 
00:00:00 29/05/2014,    7491.029,     20,    7220.318,     20,    7822.742,     20, 
00:00:00 30/05/2014,    6995.523,     30,    6794.626,     30,    7231.162,     30, 
00:00:00 31/05/2014,    6622.859,     30,    6516.374,     30,    6857.352,     30, 
00:00:00 01/06/2014,    6589.239,     30,    6501.082,     30,    6716.693,     30, 
00:00:00 02/06/2014,    6499.918,     30,    6274.454,     30,    6716.693,     30, 
00:00:00 03/06/2014,    6151.226,     30,    5935.594,     30,    6274.454,     30, 
00:00:00 04/06/2014,    5776.638,     30,    5635.310,     30,    5935.594,     30, 
00:00:00 05/06/2014,    5505.088,     30,    5412.355,     30,    5635.310,     30, 
00:00:00 06/06/2014,    5356.020,     30,    5289.106,     30,    5426.136,     30, 
00:00:00 07/06/2014,    5161.794,     30,    5060.621,     30,    5289.106,     30, 
00:00:00 08/06/2014,    4988.991,     30,    4955.040,     30,    5060.621,     30, 
00:00:00 09/06/2014,    5674.561,     30,    4968.173,     30,    7989.840,     30, 
00:00:00 10/06/2014,   10528.363,     20,    7989.840,     20,   12598.286,     20, 
00:00:00 11/06/2014,   11338.679,     30,   10329.898,     30,   12598.286,     30, 
00:00:00 12/06/2014,   10218.626,     30,    9666.130,     30,   12974.213,     30, 
00:00:00 13/06/2014,   13417.392,     30,   12974.213,     30,   13646.664,     30, 
00:00:00 14/06/2014,   13038.170,     30,   12698.208,     30,   13277.390,     30, 
00:00:00 15/06/2014,   11952.589,     30,   11146.032,     30,   12698.208,     30, 
00:00:00 16/06/2014,   10522.443,     30,   10038.427,     30,   11146.032,     30, 
00:00:00 17/06/2014,    9658.418,     20,    9251.626,     20,   10038.427,     20, 
00:00:00 18/06/2014,    8899.988,     20,    8521.243,     20,    9251.626,     20, 
00:00:00 19/06/2014,    8187.708,     20,    7867.195,     20,    8521.243,     20, 
00:00:00 20/06/2014,    7606.386,     20,    7361.237,     20,    7867.195,     20, 
00:00:00 21/06/2014,    7129.820,     30,    6888.802,     30,    7361.237,     30, 
00:00:00 22/06/2014,    6607.499,     30,    6364.570,     30,    6888.802,     30, 
00:00:00 23/06/2014,    6116.721,     30,    5921.122,     30,    6364.570,     30, 
00:00:00 24/06/2014,    5722.842,     30,    5565.110,     30,    5921.122,     30, 
00:00:00 25/06/2014,    5361.404,     30,    5207.846,     30,    5565.110,     30, 
00:00:00 26/06/2014,    5026.613,     30,    4902.725,     30,    5207.846,     30, 
00:00:00 27/06/2014,    4748.710,     30,    4658.386,     30,    4902.725,     30, 
00:00:00 28/06/2014,    4563.524,     30,    4482.821,     30,    4658.386,     30, 
00:00:00 29/06/2014,    4380.332,     30,    4286.693,     30,    4482.821,     30, 
00:00:00 30/06/2014,    4158.695,     30,    4060.152,     30,    4286.693,     30, 
00:00:00 01/07/2014,    3951.589,     30,    3874.651,     30,    4060.152,     30, 
00:00:00 02/07/2014,    3785.531,     30,    3727.512,     30,    3874.651,     30, 
00:00:00 03/07/2014,    3682.422,     30,    3649.579,     30,    3727.512,     30, 
00:00:00 04/07/2014,    3709.513,     30,    3649.579,     30,    3795.034,     30, 
00:00:00 05/07/2014,    3750.739,     30,    3671.741,     30,    3795.034,     30, 
00:00:00 06/07/2014,    3583.958,     30,    3507.278,     30,    3671.741,     30, 
00:00:00 07/07/2014,    3416.117,     30,    3357.547,     30,    3507.278,     30, 
00:00:00 08/07/2014,    3299.397,     30,    3252.787,     30,    3357.547,     30, 
00:00:00 09/07/2014,    3196.470,     30,    3160.123,     30,    3252.787,     30, 
00:00:00 10/07/2014,    3126.848,     30,    3099.125,     30,    3170.318,     30, 
00:00:00 11/07/2014,    3029.191,     30,    2989.094,     30,    3099.125,     30, 
00:00:00 12/07/2014,    2920.133,     30,    2881.224,     30,    3008.923,     30, 
00:00:00 13/07/2014,    2843.620,     30,    2813.746,     30,    2881.224,     30, 
00:00:00 14/07/2014,    2772.864,     30,    2756.635,     30,    2813.746,     30, 
00:00:00 15/07/2014,    2763.279,     30,    2737.714,     30,    2785.104,     30, 
00:00:00 16/07/2014,    2806.084,     30,    2775.600,     30,    2881.224,     30, 
00:00:00 17/07/2014,    2859.313,     30,    2813.746,     30,    2890.944,     30, 
00:00:00 18/07/2014,    2737.354,     30,    2672.136,     30,    2813.746,     30, 
00:00:00 19/07/2014,    2600.133,     30,    2552.688,     30,    2672.136,     30, 
00:00:00 20/07/2014,    2513.036,     30,    2489.616,     30,    2552.688,     30, 
00:00:00 21/07/2014,    2453.640,     30,    2436.264,     30,    2489.616,     30, 
00:00:00 22/07/2014,    2408.931,     30,    2392.286,     30,    2436.264,     30, 
00:00:00 23/07/2014,    2363.780,     30,    2348.741,     30,    2392.286,     30, 
00:00:00 24/07/2014,    2318.857,     30,    2297.074,     30,    2348.741,     30, 
00:00:00 25/07/2014,    2350.623,     30,    2314.224,     30,    2374.790,     30, 
00:00:00 26/07/2014,    2442.263,     30,    2374.790,     30,    2534.587,     30, 
00:00:00 27/07/2014,    2499.762,     30,    2453.976,     30,    2525.558,     30, 
00:00:00 28/07/2014,    2387.918,     30,    2322.821,     30,    2453.976,     30, 
00:00:00 29/07/2014,    2258.051,     30,    2212.445,     30,    2322.821,     30, 
00:00:00 30/07/2014,    2194.164,     30,    2187.389,     30,    2212.445,     30, 
00:00:00 31/07/2014,    2156.306,     30,    2137.752,     30,    2187.389,     30, 
00:00:00 01/08/2014,    2111.999,     30,    2096.842,     30,    2137.752,     30, 
00:00:00 02/08/2014,    2074.415,     30,    2056.406,     30,    2096.842,     30, 
00:00:00 03/08/2014,    2035.700,     30,    2024.395,     30,    2056.406,     30, 
00:00:00 04/08/2014,    2046.412,     30,    2032.344,     30,    2088.720,     30, 
00:00:00 05/08/2014,    2113.853,     30,    2088.720,     30,    2121.336,     30, 
00:00:00 06/08/2014,    2125.098,     30,    2121.336,     30,    2129.544,     30, 
00:00:00 07/08/2014,    2077.647,     30,    2056.406,     30,    2121.336,     30, 
00:00:00 08/08/2014,    1995.592,     30,    1953.331,     30,    2056.406,     30, 
00:00:00 09/08/2014,    1946.376,     30,    1937.693,     30,    1976.832,     30, 
00:00:00 10/08/2014,    1991.208,     30,    1976.832,     30,    2016.403,     30, 
00:00:00 11/08/2014,    2019.733,     30,    2016.403,     30,    2024.395,     30, 
00:00:00 12/08/2014,    1985.105,     30,    1961.150,     30,    2016.403,     30, 
00:00:00 13/08/2014,    1932.917,     30,    1899.029,     30,    1968.970,     30, 
00:00:00 14/08/2014,    1966.649,     30,    1922.184,     30,    2056.406,     30, 
00:00:00 15/08/2014,    2383.114,     30,    2056.406,     30,    2709.504,     30, 
00:00:00 16/08/2014,    2834.184,     30,    2709.504,     30,    2890.944,     30, 
00:00:00 17/08/2014,    2792.268,     30,    2690.798,     30,    2871.547,     30, 
00:00:00 18/08/2014,    2504.037,     30,    2357.424,     30,    2690.798,     30, 
00:00:00 19/08/2014,    2261.734,     30,    2195.683,     30,    2357.424,     30, 
00:00:00 20/08/2014,    2125.441,     30,    2072.520,     30,    2195.683,     30, 
00:00:00 21/08/2014,    2028.260,     30,    2000.549,     30,    2072.520,     30, 
00:00:00 22/08/2014,    1987.036,     30,    1976.832,     30,    2000.549,     30, 
00:00:00 23/08/2014,    1958.393,     30,    1945.512,     30,    1984.738,     30, 
00:00:00 24/08/2014,    1910.492,     30,    1876.003,     30,    1945.512,     30, 
00:00:00 25/08/2014,    1841.534,     30,    1815.394,     30,    1876.003,     30, 
00:00:00 26/08/2014,    1778.025,     30,    1748.563,     30,    1815.394,     30, 
00:00:00 27/08/2014,    1717.545,     30,    1690.286,     30,    1748.563,     30, 
00:00:00 28/08/2014,    1659.709,     30,    1640.218,     30,    1690.286,     30, 
00:00:00 29/08/2014,    1610.422,     30,    1590.970,     30,    1640.218,     30, 
00:00:00 30/08/2014,    1570.745,     30,    1556.323,     30,    1590.970,     30, 
00:00:00 31/08/2014,    1540.749,     30,    1528.891,     30,    1563.235,     30, 
00:00:00 01/09/2014,    1511.644,     30,    1501.762,     30,    1528.891,     30, 
00:00:00 02/09/2014,    1484.676,     30,    1474.891,     30,    1501.762,     30, 
00:00:00 03/09/2014,    1454.243,     30,    1441.670,     30,    1474.891,     30, 
00:00:00 04/09/2014,    1412.025,     30,    1395.835,     30,    1441.670,     30, 
00:00:00 05/09/2014,    1379.847,     30,    1363.651,     30,    1395.835,     30, 
00:00:00 06/09/2014,    1348.376,     30,    1338.163,     30,    1363.651,     30, 
00:00:00 07/09/2014,    1323.969,     30,    1312.934,     30,    1344.514,     30, 
00:00:00 08/09/2014,    1303.590,     30,    1294.229,     30,    1319.242,     30, 
00:00:00 09/09/2014,    1278.235,     30,    1269.475,     30,    1294.229,     30, 
00:00:00 10/09/2014,    1254.819,     30,    1245.024,     30,    1269.475,     30, 
00:00:00 11/09/2014,    1234.669,     30,    1220.789,     30,    1251.115,     30, 
00:00:00 12/09/2014,    1199.886,     30,    1184.976,     30,    1226.837,     30, 
00:00:00 13/09/2014,    1176.645,     30,    1167.307,     30,    1190.938,     30, 
00:00:00 14/09/2014,    1150.264,     30,    1138.147,     30,    1167.307,     30, 
00:00:00 15/09/2014,    1127.113,     30,    1115.122,     30,    1143.936,     30, 
00:00:00 16/09/2014,    1108.124,     30,    1098.014,     30,    1120.867,     30, 
00:00:00 17/09/2014,    1092.728,     30,    1081.080,     30,    1103.717,     30, 
00:00:00 18/09/2014,    1070.006,     30,    1058.702,     30,    1086.696,     30, 
00:00:00 19/09/2014,    1040.401,     30,    1031.098,     30,    1058.702,     30, 
00:00:00 20/09/2014,    1013.997,     30,     998.525,     30,    1031.098,     30, 
00:00:00 21/09/2014,     987.362,     30,     977.098,     30,    1003.925,     30, 
00:00:00 22/09/2014,     968.855,     30,     950.746,     30,     982.454,     30, 
00:00:00 23/09/2014,    1232.521,     30,     966.514,     30,    1448.280,     30, 
00:00:00 24/09/2014,    1179.313,     30,    1138.147,     30,    1325.506,     30, 
00:00:00 25/09/2014,    1126.896,     30,    1103.717,     30,    1143.936,     30, 
00:00:00 26/09/2014,    1073.412,     30,    1058.702,     30,    1103.717,     30, 
00:00:00 27/09/2014,    1031.960,     30,    1014.725,     30,    1058.702,     30, 
00:00:00 28/09/2014,     991.347,     30,     966.514,     30,    1020.168,     30, 
00:00:00 29/09/2014,     948.931,     30,     935.107,     30,     971.827,     30, 
00:00:00 30/09/2014,     912.899,     30,     899.165,     30,     935.107,     30, 
00:00:00 01/10/2014,     882.878,     30,     873.979,     30,     899.165,     30, 
00:00:00 02/10/2014,     854.441,     30,     839.290,     30,     873.979,     30, 
00:00:00 03/10/2014,     830.560,     30,     821.059,     30,     845.424,     30, 
00:00:00 04/10/2014,     809.082,     30,     797.126,     30,     827.107,     30, 
00:00:00 05/10/2014,     790.867,     30,     785.333,     30,     803.088,     30, 
00:00:00 06/10/2014,     770.443,     30,     762.134,     30,     785.333,     30, 
00:00:00 07/10/2014,     755.111,     30,     744.984,     30,     767.880,     30, 
00:00:00 08/10/2014,     736.788,     30,     722.520,     30,     750.686,     30, 
00:00:00 09/10/2014,     715.290,     30,     705.974,     30,     728.093,     30, 
00:00:00 10/10/2014,     696.478,     30,     689.688,     30,     711.461,     30, 
00:00:00 11/10/2014,     677.557,     30,     668.347,     30,     689.688,     30, 
00:00:00 12/10/2014,     662.241,     30,     652.622,     30,     673.661,     30, 
00:00:00 13/10/2014,     653.197,     30,     642.254,     30,     663.077,     30, 
00:00:00 14/10/2014,     630.466,     30,     616.853,     30,     647.438,     30, 
00:00:00 15/10/2014,     608.366,     30,     596.981,     30,     621.864,     30, 
00:00:00 16/10/2014,     590.407,     30,     577.541,     30,     601.906,     30, 
00:00:00 17/10/2014,     576.685,     30,     567.994,     30,     587.218,     30, 
00:00:00 18/10/2014,     571.176,     30,     563.242,     30,     577.541,     30, 
00:00:00 19/10/2014,     562.480,     30,     553.824,     30,     572.746,     30, 
00:00:00 20/10/2014,     555.030,     30,     549.158,     30,     567.994,     30, 
00:00:00 21/10/2014,     548.002,     30,     544.536,     30,     553.824,     30, 
00:00:00 22/10/2014,     547.682,     30,     539.914,     30,     563.242,     30, 
00:00:00 23/10/2014,     549.306,     30,     539.914,     30,     563.242,     30, 
00:00:00 24/10/2014,     541.949,     30,     535.334,     30,     549.158,     30, 
00:00:00 25/10/2014,     539.166,     30,     535.334,     30,     544.536,     30, 
00:00:00 26/10/2014,     525.704,     30,     517.234,     30,     535.334,     30, 
00:00:00 27/10/2014,     509.008,     30,     499.522,     30,     517.234,     30, 
00:00:00 28/10/2014,     544.849,     30,     503.928,     30,     587.218,     30, 
00:00:00 29/10/2014,     573.202,     30,     563.242,     30,     587.218,     30, 
00:00:00 30/10/2014,     554.567,     30,     544.536,     30,     567.994,     30, 
00:00:00 31/10/2014,     543.016,     30,     535.334,     30,     553.824,     30, 
00:00:00 01/11/2014,     533.744,     30,     521.726,     30,     544.536,     30, 
00:00:00 02/11/2014,     520.529,     30,     508.334,     30,     535.334,     30, 
00:00:00 03/11/2014,     503.591,     30,     495.158,     30,     517.234,     30, 
00:00:00 04/11/2014,     493.558,     30,     486.518,     30,     503.928,     30, 
00:00:00 05/11/2014,     485.699,     30,     482.198,     30,     490.795,     30, 
00:00:00 06/11/2014,     479.385,     30,     473.688,     30,     486.518,     30, 
00:00:00 07/11/2014,     467.780,     30,     456.970,     30,     477.965,     30, 
00:00:00 08/11/2014,     454.096,     30,     444.701,     30,     465.307,     30, 
00:00:00 09/11/2014,     443.627,     30,     436.622,     30,     452.866,     30, 
00:00:00 10/11/2014,     427.766,     30,     420.768,     30,     440.640,     30, 
00:00:00 11/11/2014,     418.613,     30,     409.104,     30,     432.605,     30, 
00:00:00 12/11/2014,     411.080,     30,     405.302,     30,     420.768,     30, 
00:00:00 13/11/2014,     403.018,     30,     393.898,     30,     412.992,     30, 
00:00:00 14/11/2014,     393.809,     30,     386.467,     30,     405.302,     30, 
