"Time","120006B","","120006B","","120006B","",""
"and","141.00","","141.00","","141.00","",""
"Date","Discharge (ML/day)","","Discharge (ML/day)","","Discharge (ML/day)","",""
"Date and time","Mean","Quality","Min","Quality","Max","Quality","Comments"
00:00:00 12/12/1974,    1401.117,     69,    1362.409,     69,    1457.249,     69, 
00:00:00 13/12/1974,    1317.252,     69,    1258.081,     69,    1362.409,     69, 
00:00:00 14/12/1974,    1196.462,     69,    1136.948,     69,    1258.081,     69, 
00:00:00 15/12/1974,    1079.788,     69,    1024.693,     69,    1136.948,     69, 
00:00:00 16/12/1974,     969.391,     69,     913.097,     69,    1024.693,     69, 
00:00:00 17/12/1974,     849.012,     69,     775.937,     69,     913.097,     69, 
00:00:00 18/12/1974,     704.315,     69,     637.675,     69,     775.937,     69, 
00:00:00 19/12/1974,     583.093,     69,     541.188,     69,     637.675,     69, 
00:00:00 20/12/1974,     511.118,     69,     490.687,     69,     541.188,     69, 
00:00:00 21/12/1974,     473.502,     69,     456.743,     69,     490.687,     69, 
00:00:00 22/12/1974,     446.608,     69,     444.269,     69,     456.743,     69, 
00:00:00 23/12/1974,     444.269,     69,     444.269,     69,     444.269,     69, 
00:00:00 24/12/1974,     517.186,     69,     444.269,     69,     677.603,     69, 
00:00:00 25/12/1974,    1011.521,     69,     677.603,     69,    1522.141,     69, 
00:00:00 26/12/1974,    1882.824,     69,    1522.141,     69,    1999.971,     69, 
00:00:00 27/12/1974,    2465.813,     69,    1999.971,     69,    3437.764,     69, 
00:00:00 28/12/1974,    3886.336,     69,    3437.764,     69,    4280.602,     69, 
00:00:00 29/12/1974,    3088.413,     69,    2854.386,     69,    3524.656,     69, 
00:00:00 30/12/1974,    2908.702,     69,    2724.365,     69,    3236.231,     69, 
00:00:00 31/12/1974,    8838.094,     69,    3236.231,     69,   20670.801,     69, 
00:00:00 01/01/1975,   30751.811,     69,   20670.801,     69,   66994.301,     69, 
00:00:00 02/01/1975,  174723.476,     69,   66994.301,     69,  225902.305,     69, 
00:00:00 03/01/1975,  119174.137,     69,  102814.445,     69,  157474.855,     69, 
00:00:00 04/01/1975,  133555.537,     69,  109783.778,     69,  165781.729,     69, 
00:00:00 05/01/1975,  183647.661,     69,  165781.729,     69,  191853.620,     69, 
00:00:00 06/01/1975,  153346.609,     69,  137527.442,     69,  179224.593,     69, 
00:00:00 07/01/1975,  138498.927,     69,  136212.452,     69,  142749.384,     69, 
00:00:00 08/01/1975,  148201.480,     69,  138556.992,     69,  156280.494,     69, 
00:00:00 09/01/1975,  126550.829,     69,  117151.834,     69,  138556.992,     69, 
00:00:00 10/01/1975,  114733.819,     69,  110689.201,     69,  123185.825,     69, 
00:00:00 11/01/1975,  135448.007,     69,  123185.825,     69,  140545.542,     69, 
00:00:00 12/01/1975,  148902.435,     69,  140545.542,     69,  173407.539,     69, 
00:00:00 13/01/1975,  207448.993,     69,  173407.539,     69,  233048.050,     69, 
00:00:00 14/01/1975,  262045.933,     69,  233048.050,     69,  298161.672,     69, 
00:00:00 15/01/1975,  336372.106,     69,  298161.672,     69,  374533.748,     69, 
00:00:00 16/01/1975,  428993.435,     69,  374533.748,     69,  503028.342,     69, 
00:00:00 17/01/1975,  558872.866,     69,  503028.342,     69,  580581.081,     69, 
00:00:00 18/01/1975,  565811.563,     69,  529027.225,     69,  583263.205,     69, 
00:00:00 19/01/1975,  495709.002,     69,  474475.453,     69,  529027.225,     69, 
00:00:00 20/01/1975,  437998.258,     69,  378878.207,     69,  474475.453,     69, 
00:00:00 21/01/1975,  286658.129,     69,  230874.312,     69,  378878.207,     69, 
00:00:00 22/01/1975,  192628.357,     69,  160536.741,     69,  230874.312,     69, 
00:00:00 23/01/1975,  134786.810,     69,  114431.336,     69,  160536.741,     69, 
00:00:00 24/01/1975,   99420.622,     69,   88881.614,     69,  114431.336,     69, 
00:00:00 25/01/1975,   79273.498,     69,   69172.640,     69,   88881.614,     69, 
00:00:00 26/01/1975,   60059.747,     69,   52309.800,     69,   69172.640,     69, 
00:00:00 27/01/1975,   48534.729,     69,   46804.003,     69,   52309.800,     69, 
00:00:00 28/01/1975,   48435.873,     69,   44963.878,     69,   50379.754,     69, 
00:00:00 29/01/1975,   40807.369,     69,   36862.290,     69,   44963.878,     69, 
00:00:00 30/01/1975,   33870.966,     69,   31948.031,     69,   36862.290,     69, 
00:00:00 31/01/1975,   30971.558,     69,   30746.218,     69,   31948.031,     69, 
00:00:00 01/02/1975,   30091.097,     69,   28649.830,     69,   30746.218,     69, 
00:00:00 02/02/1975,   27074.121,     69,   25620.095,     69,   28649.830,     69, 
00:00:00 03/02/1975,   24070.088,     69,   22361.098,     69,   25620.095,     69, 
00:00:00 04/02/1975,   20515.110,     69,   18561.960,     69,   22361.098,     69, 
00:00:00 05/02/1975,   16975.232,     69,   15866.788,     69,   18561.960,     69, 
00:00:00 06/02/1975,   14639.254,     69,   13096.631,     69,   15866.788,     69, 
00:00:00 07/02/1975,   11649.139,     69,   10429.236,     69,   13096.631,     69, 
00:00:00 08/02/1975,    9489.814,     69,    8805.035,     69,   10429.236,     69, 
00:00:00 09/02/1975,    8184.601,     69,    7549.708,     69,    8805.035,     69, 
00:00:00 10/02/1975,    7043.958,     69,    6698.387,     69,    7549.708,     69, 
00:00:00 11/02/1975,    6399.333,     69,    6098.436,     69,    6698.387,     69, 
00:00:00 12/02/1975,    5815.701,     69,    5555.423,     69,    6098.436,     69, 
00:00:00 13/02/1975,    5307.653,     69,    5066.809,     69,    5555.423,     69, 
00:00:00 14/02/1975,    4891.459,     69,    4792.208,     69,    5066.809,     69, 
00:00:00 15/02/1975,    4716.412,     69,    4641.365,     69,    4792.208,     69, 
00:00:00 16/02/1975,    4458.661,     69,    4146.498,     69,    4641.365,     69, 
00:00:00 17/02/1975,    3906.941,     69,    3801.114,     69,    4146.498,     69, 
00:00:00 18/02/1975,    3735.981,     69,    3671.536,     69,    3801.114,     69, 
00:00:00 19/02/1975,    3607.871,     69,    3544.895,     69,    3671.536,     69, 
00:00:00 20/02/1975,    3506.645,     69,    3497.818,     69,    3544.895,     69, 
00:00:00 21/02/1975,    3522.337,     69,    3497.818,     69,    3576.280,     69, 
00:00:00 22/02/1975,    3691.530,     69,    3576.280,     69,    3869.759,     69, 
00:00:00 23/02/1975,    3989.880,     69,    3869.759,     69,    4017.600,     69, 
00:00:00 24/02/1975,    3940.599,     69,    3771.198,     69,    4017.600,     69, 
00:00:00 25/02/1975,    3602.595,     69,    3468.215,     69,    3771.198,     69, 
00:00:00 26/02/1975,    3369.177,     69,    3300.232,     69,    3468.215,     69, 
00:00:00 27/02/1975,   13855.043,     69,    3255.293,     69,   37147.529,     69, 
00:00:00 28/02/1975,   52282.667,     69,   37147.529,     69,   57482.871,     69, 
00:00:00 01/03/1975,   46646.385,     69,   36834.772,     69,   53043.423,     69, 
00:00:00 02/03/1975,   30231.593,     69,   28707.783,     69,   36834.772,     69, 
00:00:00 03/03/1975,   28668.734,     69,   28582.827,     69,   28707.783,     69, 
00:00:00 04/03/1975,   27631.771,     69,   25659.407,     69,   28582.827,     69, 
00:00:00 05/03/1975,   24389.269,     69,   23950.339,     69,   25659.407,     69, 
00:00:00 06/03/1975,   25997.057,     69,   24329.473,     69,   29301.772,     69, 
00:00:00 07/03/1975,   36089.159,     69,   29301.772,     69,   46466.385,     69, 
00:00:00 08/03/1975,   55053.905,     69,   46466.385,     69,   60201.436,     69, 
00:00:00 09/03/1975,   60639.284,     69,   56663.907,     69,   63288.087,     69, 
00:00:00 10/03/1975,   51863.168,     69,   47660.757,     69,   56663.907,     69, 
00:00:00 11/03/1975,   44086.651,     69,   41051.113,     69,   47660.757,     69, 
00:00:00 12/03/1975,   37716.542,     69,   33829.244,     69,   41051.113,     69, 
00:00:00 13/03/1975,   29728.879,     69,   25819.191,     69,   33829.244,     69, 
00:00:00 14/03/1975,   23675.828,      9,   21893.933,      9,   25819.191,      9, 
00:00:00 15/03/1975,   18702.018,      9,   15790.695,      9,   21893.933,      9, 
00:00:00 16/03/1975,   13679.737,      9,   12014.996,      9,   15790.695,      9, 
00:00:00 17/03/1975,   11155.330,      9,   10244.242,      9,   12014.996,      9, 
00:00:00 18/03/1975,    9962.634,      9,    9489.398,      9,   10244.242,      9, 
00:00:00 19/03/1975,    9427.277,      9,    8975.880,      9,    9736.546,      9, 
00:00:00 20/03/1975,    8849.944,      9,    8767.267,      9,    9214.642,      9, 
00:00:00 21/03/1975,   10261.458,      9,    9214.642,      9,   10902.676,      9, 
00:00:00 22/03/1975,   20036.687,      9,   10902.676,      9,   28150.200,      9, 
00:00:00 23/03/1975,   21582.607,      9,   18006.624,      9,   27839.213,      9, 
00:00:00 24/03/1975,   22491.698,      9,   20646.144,      9,   24169.695,      9, 
00:00:00 25/03/1975,   33013.031,      9,   24169.695,      9,   41049.850,      9, 
00:00:00 26/03/1975,   43542.008,      9,   41049.850,      9,   46343.516,      9, 
00:00:00 27/03/1975,   48222.352,      9,   46343.516,      9,   49307.228,      9, 
00:00:00 28/03/1975,   46031.995,      9,   40923.321,      9,   49155.596,      9, 
00:00:00 29/03/1975,   36538.197,      9,   31680.461,      9,   40923.321,      9, 
00:00:00 30/03/1975,   29138.373,      9,   24918.963,      9,   33766.719,      9, 
00:00:00 31/03/1975,   23325.711,      9,   22538.261,      9,   24918.963,      9, 
00:00:00 01/04/1975,   50106.579,      9,   24460.687,      9,   69600.412,      9, 
00:00:00 02/04/1975,  158008.842,      9,   69600.412,      9,  186078.774,      9, 
00:00:00 03/04/1975,  125128.452,      9,  105937.082,      9,  150316.949,      9, 
00:00:00 04/04/1975,   87811.422,      9,   72919.445,      9,  105937.082,      9, 
00:00:00 05/04/1975,   65447.125,      9,   60056.220,      9,   72919.445,      9, 
00:00:00 06/04/1975,   50984.382,      9,   42214.141,      9,   60056.220,      9, 
00:00:00 07/04/1975,   37941.101,      9,   34741.911,      9,   42214.141,      9, 
00:00:00 08/04/1975,   33806.212,      9,   33014.762,      9,   34741.911,      9, 
00:00:00 09/04/1975,   31902.185,      9,   30573.783,      9,   33014.762,      9, 
