"Time","120006B","","120006B","","120006B","",""
"and","141.00","","141.00","","141.00","",""
"Date","Discharge (ML/day)","","Discharge (ML/day)","","Discharge (ML/day)","",""
"Date and time","Mean","Quality","Min","Quality","Max","Quality","Comments"
00:00:00 05/04/1978,    7934.628,      9,    6851.434,      9,   10122.860,      9, 
00:00:00 06/04/1978,    7398.378,      9,    6539.184,      9,   10026.035,      9, 
00:00:00 07/04/1978,   10797.055,      9,    9725.357,      9,   11956.896,      9, 
00:00:00 08/04/1978,   11177.060,      9,   10747.426,      9,   11884.300,      9, 
00:00:00 09/04/1978,   12627.891,      9,   11707.128,      9,   12973.910,      9, 
00:00:00 10/04/1978,   11458.518,      9,   10713.654,      9,   12498.440,      9, 
00:00:00 11/04/1978,    9901.143,      9,    9146.330,      9,   10713.654,      9, 
00:00:00 12/04/1978,    8615.654,      9,    8001.669,      9,    9146.330,      9, 
00:00:00 13/04/1978,    7482.004,      9,    7170.120,      9,    9000.102,      9, 
00:00:00 14/04/1978,   12018.311,      9,    9000.102,      9,   12973.910,      9, 
00:00:00 15/04/1978,   10797.550,      9,    9871.124,      9,   11933.846,      9, 
00:00:00 16/04/1978,    8977.547,      9,    8242.144,      9,    9871.124,      9, 
00:00:00 17/04/1978,    7566.528,      9,    7041.380,      9,    8242.144,      9, 
00:00:00 18/04/1978,    6442.674,      9,    5893.173,      9,    7041.380,      9, 
00:00:00 19/04/1978,    5350.743,      9,    4839.696,      9,    5893.173,      9, 
00:00:00 20/04/1978,    4563.549,      9,    4208.328,      9,    4839.696,      9, 
00:00:00 21/04/1978,    3838.728,      9,    3533.219,      9,    4208.328,      9, 
00:00:00 22/04/1978,    3304.496,      9,    3049.850,      9,    3533.219,      9, 
00:00:00 23/04/1978,    2868.343,      9,    2680.819,      9,    3049.850,      9, 
00:00:00 24/04/1978,    2577.741,      9,    2478.557,      9,    2680.819,      9, 
00:00:00 25/04/1978,    2343.717,      9,    2194.949,      9,    2478.557,      9, 
00:00:00 26/04/1978,    2116.155,      9,    2034.677,      9,    2194.949,      9, 
00:00:00 27/04/1978,    1944.992,      9,    1846.157,      9,    2034.677,      9, 
00:00:00 28/04/1978,    1778.038,      9,    1714.673,      9,    1846.157,      9, 
00:00:00 29/04/1978,    1659.728,      9,    1628.294,      9,    1714.673,      9, 
00:00:00 30/04/1978,    1652.195,      9,    1624.277,      9,    1684.325,      9, 
00:00:00 01/05/1978,    1573.748,      9,    1529.798,      9,    1639.958,      9, 
00:00:00 02/05/1978,    1495.556,      9,    1454.976,      9,    1529.798,      9, 
00:00:00 03/05/1978,    1382.887,      9,    1345.982,      9,    1454.976,      9, 
00:00:00 04/05/1978,    1277.373,      9,    1241.919,      9,    1345.982,      9, 
00:00:00 05/05/1978,    1168.841,      9,    1099.094,      9,    1241.919,      9, 
00:00:00 06/05/1978,    1076.054,      9,    1053.216,      9,    1099.094,      9, 
00:00:00 07/05/1978,    1030.788,      9,    1008.590,      9,    1053.216,      9, 
00:00:00 08/05/1978,     986.796,      9,     965.174,      9,    1008.590,      9, 
00:00:00 09/05/1978,     944.125,      9,     926.165,      9,     965.174,      9, 
00:00:00 10/05/1978,    1005.111,      9,     926.165,      9,    1079.455,      9, 
00:00:00 11/05/1978,    1189.390,      9,    1079.455,      9,    1275.102,      9, 
00:00:00 12/05/1978,    1589.320,      9,    1275.102,      9,    1745.798,      9, 
00:00:00 13/05/1978,    1637.753,      9,    1519.794,      9,    1719.187,      9, 
00:00:00 14/05/1978,    1447.154,      9,    1398.427,      9,    1519.794,      9, 
00:00:00 15/05/1978,    1471.001,      9,    1398.427,      9,    1623.024,      9, 
00:00:00 16/05/1978,    1820.447,      9,    1623.024,      9,    1877.617,      9, 
00:00:00 17/05/1978,    1905.249,      9,    1863.363,      9,    1938.686,      9, 
00:00:00 18/05/1978,    2269.262,      9,    1684.325,      9,    4467.648,      9, 
00:00:00 19/05/1978,    4971.547,      9,    4467.648,      9,    5422.594,      9, 
00:00:00 20/05/1978,    3969.832,      9,    3377.678,      9,    4521.996,      9, 
00:00:00 21/05/1978,    3181.609,      9,    2937.427,      9,    3377.678,      9, 
00:00:00 22/05/1978,    2778.608,      9,    2599.301,      9,    2937.427,      9, 
00:00:00 23/05/1978,    2522.844,      9,    2424.470,      9,    2599.301,      9, 
00:00:00 24/05/1978,    2359.412,      9,    2260.008,      9,    2424.470,      9, 
00:00:00 25/05/1978,    2167.172,      9,    2106.000,      9,    2260.008,      9, 
00:00:00 26/05/1978,    2043.004,      9,    1978.560,      9,    2106.000,      9, 
00:00:00 27/05/1978,    1926.514,      9,    1856.693,      9,    1978.560,      9, 
00:00:00 28/05/1978,    1822.968,      9,    1783.253,      9,    1856.693,      9, 
00:00:00 29/05/1978,    1714.848,      9,    1657.152,      9,    1783.253,      9, 
00:00:00 30/05/1978,    1608.675,      9,    1548.504,      9,    1657.152,      9, 
00:00:00 31/05/1978,    1519.632,      9,    1490.962,      9,    1548.504,      9, 
00:00:00 01/06/1978,    1462.824,      9,    1434.888,      9,    1490.962,      9, 
00:00:00 02/06/1978,    1407.420,      9,    1380.154,      9,    1434.888,      9, 
00:00:00 03/06/1978,    1356.663,      9,    1345.378,      9,    1380.154,      9, 
00:00:00 04/06/1978,    1345.378,      9,    1345.378,      9,    1345.378,      9, 
00:00:00 05/06/1978,    1345.378,      9,    1345.378,      9,    1345.378,      9, 
00:00:00 06/06/1978,    1564.994,      9,    1345.378,      9,    1684.325,      9, 
00:00:00 07/06/1978,    1610.788,      9,    1523.664,      9,    1660.219,      9, 
00:00:00 08/06/1978,    1426.265,      9,    1345.378,      9,    1523.664,      9, 
00:00:00 09/06/1978,    1345.635,      9,    1314.533,      9,    1398.427,      9, 
00:00:00 10/06/1978,    1261.478,      9,    1199.059,      9,    1314.533,      9, 
00:00:00 11/06/1978,    1135.489,      9,    1102.118,      9,    1199.059,      9, 
00:00:00 12/06/1978,    1043.055,      9,    1011.960,      9,    1102.118,      9, 
00:00:00 13/06/1978,     939.482,      9,     886.032,      9,    1011.960,      9, 
00:00:00 14/06/1978,     885.476,      9,     879.336,      9,     886.032,      9, 
00:00:00 15/06/1978,     859.380,      9,     838.771,      9,     879.336,      9, 
00:00:00 16/06/1978,     822.400,      9,     803.434,      9,     846.806,      9, 
00:00:00 17/06/1978,     818.629,      9,     761.616,      9,     846.806,      9, 
00:00:00 18/06/1978,     772.935,      9,     717.077,      9,     803.434,      9, 
00:00:00 19/06/1978,     666.714,      9,     616.723,      9,     717.077,      9, 
00:00:00 20/06/1978,     567.673,      9,     526.924,      9,     616.723,      9, 
00:00:00 21/06/1978,     471.410,      9,     439.344,      9,     526.924,      9, 
00:00:00 22/06/1978,     428.023,      9,     423.576,      9,     439.344,      9, 
00:00:00 23/06/1978,     423.576,      9,     423.576,      9,     423.576,      9, 
00:00:00 24/06/1978,     429.536,      9,     423.576,      9,     451.397,      9, 
00:00:00 25/06/1978,     451.093,      9,     447.206,      9,     451.397,      9, 
00:00:00 26/06/1978,     431.441,      9,     397.975,      9,     447.206,      9, 
00:00:00 27/06/1978,     396.968,      9,     396.965,      9,     397.975,      9, 
00:00:00 28/06/1978,     396.965,      9,     396.965,      9,     396.965,      9, 
00:00:00 29/06/1978,     420.958,      9,     396.965,      9,     451.397,      9, 
00:00:00 30/06/1978,     469.369,      9,     451.397,      9,     480.298,      9, 
00:00:00 01/07/1978,     475.754,      9,     463.925,      9,     480.298,      9, 
00:00:00 02/07/1978,     454.457,      9,     451.397,      9,     473.440,      9, 
00:00:00 03/07/1978,     661.930,      9,     473.440,      9,     682.603,      9, 
00:00:00 04/07/1978,     670.553,      9,     652.536,      9,     682.603,      9, 
00:00:00 05/07/1978,     634.172,      9,     615.989,      9,     652.536,      9, 
00:00:00 06/07/1978,     598.345,      9,     580.910,      9,     615.989,      9, 
00:00:00 07/07/1978,     550.846,      9,     542.290,      9,     580.910,      9, 
00:00:00 08/07/1978,     545.927,      9,     542.290,      9,     575.338,      9, 
00:00:00 09/07/1978,     590.883,      9,     575.338,      9,     609.725,      9, 
00:00:00 10/07/1978,     654.591,      9,     609.725,      9,     721.310,      9, 
00:00:00 11/07/1978,     727.328,      9,     721.310,      9,     761.616,      9, 
00:00:00 12/07/1978,     761.616,      9,     761.616,      9,     761.616,      9, 
00:00:00 13/07/1978,     761.435,      9,     757.728,      9,     761.616,      9, 
00:00:00 14/07/1978,     737.521,      9,     721.310,      9,     757.728,      9, 
00:00:00 15/07/1978,    2883.568,      9,     721.310,      9,    6223.954,      9, 
00:00:00 16/07/1978,    7117.199,      9,    6223.954,      9,    7729.709,      9, 
00:00:00 17/07/1978,    7677.229,      9,    7005.551,      9,    8055.547,      9, 
00:00:00 18/07/1978,    6318.248,      9,    5520.701,      9,    7005.551,      9, 
00:00:00 19/07/1978,    4815.800,      9,    4427.525,      9,    5520.701,      9, 
00:00:00 20/07/1978,    4274.359,      9,    4197.182,      9,    4427.525,      9, 
00:00:00 21/07/1978,    4082.373,      9,    3897.374,      9,    4197.182,      9, 
00:00:00 22/07/1978,    3827.606,      9,    3706.251,      9,    3897.374,      9, 
00:00:00 23/07/1978,    3593.811,      9,    3528.533,      9,    3706.251,      9, 
00:00:00 24/07/1978,    3422.597,      9,    3278.059,      9,    3528.533,      9, 
00:00:00 25/07/1978,    3303.114,      9,    3278.059,      9,    3397.723,      9, 
00:00:00 26/07/1978,    3485.615,      9,    3397.723,      9,    3520.541,      9, 
00:00:00 27/07/1978,    3843.256,      9,    3520.541,      9,    4173.095,      9, 
00:00:00 28/07/1978,    4264.836,      9,    4173.095,      9,    4325.184,      9, 
00:00:00 29/07/1978,    4221.352,      9,    3969.177,      9,    4325.184,      9, 
00:00:00 30/07/1978,    3630.491,      9,    3257.885,      9,    3969.177,      9, 
00:00:00 31/07/1978,    2939.617,      9,    2675.938,      9,    3257.885,      9, 
00:00:00 01/08/1978,    2487.949,      9,    2193.696,      9,    2675.938,      9, 
00:00:00 02/08/1978,    1984.111,      9,    1782.821,      9,    2193.696,      9, 
00:00:00 03/08/1978,    1607.225,      9,    1480.853,      9,    1782.821,      9, 
00:00:00 04/08/1978,    1400.464,      9,    1315.898,      9,    1480.853,      9, 
00:00:00 05/08/1978,    1266.528,      9,    1211.351,      9,    1315.898,      9, 
00:00:00 06/08/1978,    1116.257,      9,     991.636,      9,    1211.351,      9, 
00:00:00 07/08/1978,     819.237,      9,     709.517,      9,     991.636,      9, 
00:00:00 08/08/1978,     682.990,      9,     640.181,      9,     709.517,      9, 
00:00:00 09/08/1978,     619.829,      9,     576.498,      9,     640.181,      9, 
00:00:00 10/08/1978,     558.690,      9,     541.901,      9,     576.498,      9, 
00:00:00 11/08/1978,     512.648,      9,     480.298,      9,     541.901,      9, 
00:00:00 12/08/1978,     479.712,      9,     474.379,      9,     480.298,      9, 
00:00:00 13/08/1978,     456.802,      9,     422.280,      9,     474.379,      9, 
00:00:00 14/08/1978,     408.786,      9,     396.965,      9,     422.280,      9, 
00:00:00 15/08/1978,     396.896,      9,     395.064,      9,     396.965,      9, 
00:00:00 16/08/1978,     381.692,      9,     358.883,      9,     395.064,      9, 
00:00:00 17/08/1978,     337.787,      9,     325.771,      9,     358.883,      9, 
00:00:00 18/08/1978,     343.973,      9,     324.259,      9,     347.328,      9, 
00:00:00 19/08/1978,     342.796,      9,     332.726,      9,     347.328,      9, 
00:00:00 20/08/1978,     321.300,      9,     310.046,      9,     332.726,      9, 
00:00:00 21/08/1978,     299.182,      9,     288.490,      9,     310.046,      9, 
00:00:00 22/08/1978,     278.158,      9,     267.970,      9,     288.490,      9, 
00:00:00 23/08/1978,     251.403,      9,     242.568,      9,     267.970,      9, 
00:00:00 24/08/1978,     225.432,      9,     179.410,      9,     242.568,      9, 
00:00:00 25/08/1978,     179.405,      9,     178.978,      9,     179.410,      9, 
00:00:00 26/08/1978,     168.842,      9,     158.674,      9,     178.978,      9, 
00:00:00 27/08/1978,     142.122,      9,     125.323,      9,     158.674,      9, 
00:00:00 28/08/1978,     135.398,      9,     125.323,      9,     159.624,      9, 
00:00:00 29/08/1978,     147.156,      9,     141.696,      9,     155.390,      9, 
00:00:00 30/08/1978,     162.560,      9,     149.866,      9,     179.410,      9, 
00:00:00 31/08/1978,     194.808,      9,     179.410,      9,     215.482,      9, 
00:00:00 01/09/1978,     276.026,      9,     215.482,      9,     340.459,      9, 
00:00:00 02/09/1978,     408.881,      9,     340.459,      9,     555.287,      9, 
00:00:00 03/09/1978,     771.577,      9,     555.287,      9,     916.119,      9, 
00:00:00 04/09/1978,    1030.640,      9,     916.119,      9,    1100.002,      9, 
00:00:00 05/09/1978,    1131.271,      9,    1100.002,      9,    1194.091,      9, 
00:00:00 06/09/1978,    1160.992,      9,    1100.002,      9,    1193.702,      9, 
00:00:00 07/09/1978,    1159.019,      9,    1105.695,      9,    1194.091,      9, 
00:00:00 08/09/1978,    1052.581,      9,    1010.664,      9,    1136.909,      9, 
00:00:00 09/09/1978,    1214.701,      9,    1067.878,      9,    1938.511,      9, 
00:00:00 10/09/1978,    2834.434,      9,    1938.511,      9,    3161.506,      9, 
00:00:00 11/09/1978,    4089.307,      9,    3161.506,      9,    4977.104,      9, 
00:00:00 12/09/1978,    5020.510,      9,    4946.918,      9,    5090.990,      9, 
00:00:00 13/09/1978,    4490.297,      9,    3980.621,      9,    4946.918,      9, 
00:00:00 14/09/1978,    3508.159,      9,    3099.600,      9,    3980.621,      9, 
00:00:00 15/09/1978,    2886.631,      9,    2550.960,      9,    3161.506,      9, 
00:00:00 16/09/1978,    2339.012,      9,    2166.553,      9,    2550.960,      9, 
00:00:00 17/09/1978,    2012.267,      9,    1847.713,      9,    2166.553,      9, 
00:00:00 18/09/1978,    1767.349,      9,    1745.798,      9,    1847.713,      9, 
00:00:00 19/09/1978,    1833.653,      9,    1745.798,      9,    1938.686,      9, 
00:00:00 20/09/1978,    2046.475,      9,    1938.686,      9,    2145.485,      9, 
00:00:00 21/09/1978,    2207.819,      9,    2145.485,      9,    2291.155,      9, 
00:00:00 22/09/1978,    2291.419,      9,    2291.155,      9,    2306.663,      9, 
00:00:00 23/09/1978,    2444.005,      9,    2306.663,      9,    2624.443,      9, 
00:00:00 24/09/1978,    2835.568,      9,    2624.443,      9,    3309.541,      9, 
00:00:00 25/09/1978,    3641.320,      9,    3309.541,      9,    3774.946,      9, 
00:00:00 26/09/1978,    3311.125,      9,    2843.683,      9,    3506.242,      9, 
00:00:00 27/09/1978,    2473.872,      9,    2245.186,      9,    2843.683,      9, 
00:00:00 28/09/1978,    2043.490,      9,    1827.360,      9,    2245.186,      9, 
00:00:00 29/09/1978,    1592.308,      9,    1431.322,      9,    1827.360,      9, 
00:00:00 30/09/1978,    1301.330,      9,    1152.360,      9,    1431.322,      9, 
00:00:00 01/10/1978,    1050.666,      9,     969.618,      9,    1152.360,      9, 
00:00:00 02/10/1978,     899.939,      9,     844.976,      9,     969.618,      9, 
00:00:00 03/10/1978,     746.901,      9,     640.915,      9,     844.976,      9, 
00:00:00 04/10/1978,     573.271,      9,     535.609,      9,     640.915,      9, 
00:00:00 05/10/1978,     475.518,      9,     440.597,      9,     535.609,      9, 
00:00:00 06/10/1978,     419.857,      9,     391.046,      9,     440.597,      9, 
00:00:00 07/10/1978,     377.485,      9,     359.597,      9,     391.046,      9, 
00:00:00 08/10/1978,     327.811,      9,     304.690,      9,     359.597,      9, 
00:00:00 09/10/1978,     278.810,      9,     265.896,      9,     304.690,      9, 
00:00:00 10/10/1978,     235.295,      9,     185.646,      9,     265.896,      9, 
00:00:00 11/10/1978,     130.302,      9,     106.315,      9,     185.646,      9, 
00:00:00 12/10/1978,     100.235,      9,      97.070,      9,     106.315,      9, 
00:00:00 13/10/1978,      96.409,      9,      92.966,      9,      97.070,      9, 
00:00:00 14/10/1978,      87.611,      9,      84.974,      9,      92.966,      9, 
00:00:00 15/10/1978,     152.127,      9,      84.974,      9,     201.053,      9, 
00:00:00 16/10/1978,     166.537,      9,     141.696,      9,     224.597,      9, 
00:00:00 17/10/1978,     158.386,      9,     148.012,      9,     159.624,      9, 
00:00:00 18/10/1978,     128.936,      9,     125.323,      9,     148.012,      9, 
00:00:00 19/10/1978,     142.113,      9,     122.083,      9,     159.624,      9, 
00:00:00 20/10/1978,     109.575,      9,      97.070,      9,     122.083,      9, 
00:00:00 21/10/1978,      98.335,      9,      97.070,      9,     103.205,      9, 
00:00:00 22/10/1978,     104.434,      9,      97.070,      9,     119.743,      9, 
00:00:00 23/10/1978,     141.057,      9,     119.743,      9,     173.399,      9, 
00:00:00 24/10/1978,     179.259,      9,     173.399,      9,     179.410,      9, 
00:00:00 25/10/1978,     162.828,      9,     141.696,      9,     179.410,      9, 
00:00:00 26/10/1978,     141.696,      9,     141.696,      9,     141.696,      9, 
00:00:00 27/10/1978,     217.163,      9,     141.696,      9,     261.446,      9, 
00:00:00 28/10/1978,     180.416,      9,     159.624,      9,     201.053,      9, 
00:00:00 29/10/1978,     229.851,      9,     201.053,      9,     242.568,      9, 
00:00:00 30/10/1978,     242.568,      9,     242.568,      9,     242.568,      9, 
00:00:00 31/10/1978,     239.850,      9,     232.589,      9,     242.568,      9, 
00:00:00 01/11/1978,     226.580,      9,     224.597,      9,     232.589,      9, 
00:00:00 02/11/1978,     244.906,      9,     231.194,      9,     261.446,      9, 
00:00:00 03/11/1978,     281.375,      9,     261.446,      9,     302.270,      9, 
00:00:00 04/11/1978,     313.471,      9,     302.270,      9,     324.259,      9, 
00:00:00 05/11/1978,     363.025,      9,     324.259,      9,     451.397,      9, 
00:00:00 06/11/1978,     451.532,      9,     451.397,      9,     458.222,      9, 
00:00:00 07/11/1978,     535.925,      9,     458.222,      9,     575.338,      9, 
00:00:00 08/11/1978,     538.506,      9,     510.624,      9,     562.421,      9, 
00:00:00 09/11/1978,     562.841,      9,     510.624,      9,     609.725,      9, 
00:00:00 10/11/1978,     609.729,      9,     609.725,      9,     611.085,      9, 
00:00:00 11/11/1978,     642.850,      9,     611.085,      9,     649.760,      9, 
00:00:00 12/11/1978,     666.403,      9,     649.760,      9,     682.603,      9, 
00:00:00 13/11/1978,     807.538,      9,     645.538,      9,    1100.002,      9, 
00:00:00 14/11/1978,    1274.207,      9,    1100.002,      9,    1452.946,      9, 
00:00:00 15/11/1978,    1596.552,      9,    1452.946,      9,    1850.713,      9, 
00:00:00 16/11/1978,    2817.324,      9,    1850.713,      9,    3278.059,      9, 
00:00:00 17/11/1978,    2235.897,      9,    1920.310,      9,    2603.192,      9, 
00:00:00 18/11/1978,    1775.224,      9,    1689.811,      9,    1920.310,      9, 
00:00:00 19/11/1978,    1632.968,      9,    1624.277,      9,    1689.811,      9, 
00:00:00 20/11/1978,    1605.759,      9,    1577.405,      9,    1624.277,      9, 
00:00:00 21/11/1978,    1548.282,      9,    1519.474,      9,    1577.405,      9, 
00:00:00 22/11/1978,    1491.012,      9,    1462.752,      9,    1519.474,      9, 
00:00:00 23/11/1978,    1453.807,      9,    1452.946,      9,    1462.752,      9, 
00:00:00 24/11/1978,    1452.946,      9,    1452.946,      9,    1452.946,      9, 
00:00:00 25/11/1978,    1452.946,      9,    1452.946,      9,    1452.946,      9, 
00:00:00 26/11/1978,    1794.839,      9,    1452.946,      9,    2006.078,      9, 
00:00:00 27/11/1978,    1894.643,      9,    1873.195,      9,    1938.686,      9, 
00:00:00 28/11/1978,    1900.807,      9,    1808.741,      9,    2006.078,      9, 
00:00:00 29/11/1978,    1783.251,      9,    1745.798,      9,    1835.355,      9, 
00:00:00 30/11/1978,    1735.942,      9,    1704.326,      9,    1769.040,      9, 
00:00:00 01/12/1978,    1673.598,      9,    1643.069,      9,    1704.326,      9, 
00:00:00 02/12/1978,    1613.059,      9,    1583.280,      9,    1643.069,      9, 
00:00:00 03/12/1978,    1568.262,      9,    1565.611,      9,    1583.280,      9, 
00:00:00 04/12/1978,    1465.055,      9,    1293.624,      9,    1565.611,      9, 
00:00:00 05/12/1978,    1305.921,      9,    1194.091,      9,    1398.427,      9, 
00:00:00 06/12/1978,    6000.160,      9,    1194.091,      9,   11547.878,      9, 
00:00:00 07/12/1978,    8364.478,      9,    6912.562,      9,   10905.408,      9, 
00:00:00 08/12/1978,    6563.051,      9,    5396.401,      9,    7496.539,      9, 
00:00:00 09/12/1978,    5968.136,      9,    5213.246,      9,    7784.076,      9, 
00:00:00 10/12/1978,    7221.094,      9,    5800.882,      9,    8284.896,      9, 
00:00:00 11/12/1978,    4399.594,      9,    3511.620,      9,    5800.882,      9, 
00:00:00 12/12/1978,    3255.111,      9,    3051.167,      9,    3511.620,      9, 
00:00:00 13/12/1978,    2695.890,      9,    2373.369,      9,    3051.167,      9, 
00:00:00 14/12/1978,    2153.717,      9,    1968.419,      9,    2373.369,      9, 
00:00:00 15/12/1978,    2721.836,      9,    1897.171,      9,    4391.496,      9, 
00:00:00 16/12/1978,    3183.546,      9,    2640.082,      9,    4276.573,      9, 
00:00:00 17/12/1978,    4268.766,      9,    3882.146,      9,    4391.496,      9, 
00:00:00 18/12/1978,    3777.646,      9,    3345.932,      9,    4189.331,      9, 
00:00:00 19/12/1978,    2915.316,      9,    2640.082,      9,    3345.932,      9, 
00:00:00 20/12/1978,    3376.330,      9,    2640.082,      9,    4391.496,      9, 
00:00:00 21/12/1978,    6627.767,      9,    4391.496,      9,    7606.915,      9, 
00:00:00 22/12/1978,    6979.683,      9,    6060.195,      9,    7501.680,      9, 
00:00:00 23/12/1978,    6784.964,      9,    5069.390,      9,    9232.229,      9, 
00:00:00 24/12/1978,    8852.123,      9,    7578.886,      9,    9210.067,      9, 
00:00:00 25/12/1978,    6590.814,      9,    4929.096,      9,    7578.886,      9, 
00:00:00 26/12/1978,    5875.831,      9,    4521.917,      9,    9272.923,      9, 
00:00:00 27/12/1978,   10783.251,      9,    9272.923,      9,   11596.580,      9, 
00:00:00 28/12/1978,   26752.348,      9,   11596.580,      9,   33342.322,      9, 
00:00:00 29/12/1978,   20263.784,      9,   16567.223,      9,   26643.080,      9, 
00:00:00 30/12/1978,   14885.148,      9,   12302.587,      9,   16567.223,      9, 
00:00:00 31/12/1978,   10963.365,      9,    9908.439,      9,   12302.587,      9, 
00:00:00 01/01/1979,   10278.280,      9,    9850.594,      9,   10747.426,      9, 
00:00:00 02/01/1979,   10062.002,      9,    9245.667,      9,   10691.341,      9, 
00:00:00 03/01/1979,    8785.440,      9,    8161.430,      9,    9245.667,      9, 
00:00:00 04/01/1979,    7282.651,      9,    6399.648,      9,    8161.430,      9, 
00:00:00 05/01/1979,    5387.562,      9,    4598.773,      9,    6399.648,      9, 
00:00:00 06/01/1979,    4082.931,      9,    3596.911,      9,    4598.773,      9, 
00:00:00 07/01/1979,    3183.556,      9,    2732.314,      9,    3596.911,      9, 
00:00:00 08/01/1979,    2653.457,      9,    2462.616,      9,    2826.706,      9, 
00:00:00 09/01/1979,    2510.892,      9,    2468.966,      9,    2550.010,      9, 
00:00:00 10/01/1979,    2514.248,      9,    2462.616,      9,    2700.043,      9, 
00:00:00 11/01/1979,    2861.504,      9,    2700.043,      9,    2923.344,      9, 
00:00:00 12/01/1979,    2787.126,      9,    2732.314,      9,    2862.864,      9, 
00:00:00 13/01/1979,    2826.462,      9,    2809.978,      9,    2826.706,      9, 
00:00:00 14/01/1979,    2659.412,      9,    2462.616,      9,    2826.706,      9, 
00:00:00 15/01/1979,    5011.064,      9,    2462.616,      9,    7717.378,      9, 
00:00:00 16/01/1979,    7050.213,      9,    6746.587,      9,    7637.409,      9, 
00:00:00 17/01/1979,    6383.876,      9,    5734.227,      9,    6957.101,      9, 
00:00:00 18/01/1979,    5051.849,      9,    4476.242,      9,    5734.227,      9, 
00:00:00 19/01/1979,    4097.393,      9,    3778.445,      9,    4604.964,      9, 
00:00:00 20/01/1979,    6766.121,      9,    4604.964,      9,    8400.067,      9, 
00:00:00 21/01/1979,    7826.286,      9,    7425.734,      9,    8339.554,      9, 
00:00:00 22/01/1979,    7004.362,      9,    6621.556,      9,    7425.734,      9, 
00:00:00 23/01/1979,    5922.384,      9,    5359.910,      9,    6621.556,      9, 
00:00:00 24/01/1979,    6712.130,      9,    5359.910,      9,    7386.941,      9, 
00:00:00 25/01/1979,    8716.833,      9,    6957.101,      9,   10230.970,      9, 
00:00:00 26/01/1979,    7329.229,      9,    5957.630,      9,    8768.702,      9, 
00:00:00 27/01/1979,    5666.640,      9,    5359.910,      9,    6579.638,      9, 
00:00:00 28/01/1979,   22403.597,      9,    6579.638,      9,   60599.617,      9, 
00:00:00 29/01/1979,   83185.470,      9,   45052.200,      9,  162188.033,      9, 
00:00:00 30/01/1979,  272313.204,      9,  162188.033,      9,  399996.406,      9, 
00:00:00 31/01/1979,  400995.459,      9,  316231.908,      9,  631875.604,      9, 
00:00:00 01/02/1979,  498287.593,      9,  284423.199,      9,  666725.519,      9, 
00:00:00 02/02/1979,  239700.366,      9,  224634.169,      9,  284423.199,      9, 
00:00:00 03/02/1979,  215894.491,      9,  200804.842,      9,  233267.267,      9, 
00:00:00 04/02/1979,  191709.130,      9,  187592.372,      9,  200804.842,      9, 
00:00:00 05/02/1979,  369226.726,      9,  199903.826,      9,  582321.075,      9, 
00:00:00 06/02/1979,  569270.478,      9,  499321.570,      9,  604268.039,      9, 
00:00:00 07/02/1979,  427598.562,      9,  334642.193,      9,  613416.302,      9, 
00:00:00 08/02/1979,  644777.704,      9,  508568.818,      9,  709075.689,      9, 
00:00:00 09/02/1979,  413046.921,      9,  356271.937,      9,  508568.818,      9, 
00:00:00 10/02/1979,  286604.795,      9,  232332.092,      9,  356271.937,      9, 
00:00:00 11/02/1979,  192709.700,      9,  174320.031,      9,  232332.092,      9, 
00:00:00 12/02/1979,  152425.658,      9,  141193.844,      9,  174320.031,      9, 
00:00:00 13/02/1979,  227362.547,      9,  141193.844,      9,  313348.990,      9, 
00:00:00 14/02/1979,  288877.303,      9,  253002.066,      9,  323311.480,      9, 
00:00:00 15/02/1979,  216886.049,      9,  165981.898,      9,  253002.066,      9, 
00:00:00 16/02/1979,  133191.301,      9,  110912.318,      9,  165981.898,      9, 
00:00:00 17/02/1979,   99448.407,      9,   92545.484,      9,  110912.318,      9, 
00:00:00 18/02/1979,   83339.093,      9,   77707.901,      9,   92545.484,      9, 
00:00:00 19/02/1979,   77648.521,      9,   66892.836,      9,   84634.460,      9, 
00:00:00 20/02/1979,   61175.505,      9,   54161.789,      9,   66892.836,      9, 
00:00:00 21/02/1979,   48560.350,      9,   43906.038,      9,   54161.789,      9, 
00:00:00 22/02/1979,   38589.175,      9,   36383.472,      9,   43906.038,      9, 
00:00:00 23/02/1979,   37309.783,      9,   36212.175,      9,   38204.914,      9, 
00:00:00 24/02/1979,   34624.714,      9,   33348.589,      9,   36212.175,      9, 
00:00:00 25/02/1979,   32918.966,      9,   32090.645,      9,   35061.423,      9, 
00:00:00 26/02/1979,   34565.684,      9,   33766.719,      9,   35061.423,      9, 
00:00:00 27/02/1979,   33625.308,      9,   32504.328,      9,   34894.671,      9, 
00:00:00 28/02/1979,   32968.664,      9,   32504.328,      9,   33766.719,      9, 
00:00:00 01/03/1979,   33254.542,      9,   31344.797,      9,   34194.658,      9, 
00:00:00 02/03/1979,   29633.940,      9,   28529.280,      9,   31344.797,      9, 
00:00:00 03/03/1979,  241635.731,      9,   29401.454,      9,  341959.020,      9, 
00:00:00 04/03/1979,  131686.298,      9,  106128.922,      9,  200431.039,      9, 
00:00:00 05/03/1979,   97127.980,      9,   78842.297,      9,  111322.902,      9, 
00:00:00 06/03/1979,   81167.755,      9,   78679.340,      9,   84634.460,      9, 
00:00:00 07/03/1979,  104301.681,      9,   80641.138,      9,  193891.598,      9, 
00:00:00 08/03/1979,  151722.667,      9,  131466.111,      9,  196137.505,      9, 
