"Time","138014A","","138014A","","138014A","",""
"and","141.00","","141.00","","141.00","",""
"Date","Discharge (ML/day)","","Discharge (ML/day)","","Discharge (ML/day)","",""
"Date and time","Mean","Quality","Min","Quality","Max","Quality","Comments"
00:00:00 01/01/1982,"",    255,"",    255,"",    255,Sites:
00:00:00 01/01/1983,    7685.963,     20,       0.173,     20,  247131.045,     20,138014A - Mary River at Home Park Lat:-25.76832547 Long:152.5273595 Elev:0m
00:00:00 01/01/1984,    1483.803,     20,     116.640,     20,   37607.847,     20, 
00:00:00 01/01/1985,    1926.260,     59,     116.640,     59,   41402.016,     59,Variables:
00:00:00 01/01/1986,     639.777,     20,      10.886,     20,   17341.474,     20,140 - Stream Discharge (Cumecs)
00:00:00 01/01/1987,    1123.337,     20,      45.662,     20,   49083.538,     20,141 - Stream Discharge (Megalitres/Day)
00:00:00 01/01/1988,    6144.786,     59,      36.245,     59,  200908.470,     59, 
00:00:00 01/01/1989,   11098.135,     59,     256.392,     59,  412275.358,     59,Qualities:
00:00:00 01/01/1990,    4636.176,     20,      77.501,     20,   67201.877,     20,20 - Fair
00:00:00 01/01/1991,    1057.130,     20,       0.130,     20,   72568.743,     20,30 - Poor
00:00:00 01/01/1992,    9514.067,     20,     104.803,     20,  601544.149,     20,59 - CITEC - Derived Height
00:00:00 01/01/1993,     425.367,     60,      37.238,     60,   18131.429,     60,60 - Estimate
00:00:00 01/01/1994,    1645.576,     20,       0.950,     20,   35696.160,     20,255 - No data exists
00:00:00 01/01/1995,    1759.334,     60,      23.069,     60,  106865.309,     60, 
00:00:00 01/01/1996,    2640.871,     20,      41.170,     20,  171909.044,     20, 
00:00:00 01/01/1997,     548.197,     20,       7.517,     20,   59812.560,     20, 
00:00:00 01/01/1998,    1181.585,     20,      48.298,     20,   35179.747,     20, 
00:00:00 01/01/1999,    9476.077,     60,     201.528,     60,  573245.773,     60, 
00:00:00 01/01/2000,    2020.279,     60,      42.293,     60,   62559.605,     60, 
00:00:00 01/01/2001,    1415.486,     20,      40.738,     20,  105088.407,     20, 
00:00:00 01/01/2002,     141.326,     20,       0.562,     20,    6534.432,     20, 
00:00:00 01/01/2003,    2326.692,     20,       1.080,     20,   81463.450,     20, 
00:00:00 01/01/2004,    2465.152,     20,       3.197,     20,   91555.921,     20, 
00:00:00 01/01/2005,     818.372,     20,       3.974,     20,   27426.514,     20, 
00:00:00 01/01/2006,     311.360,     20,       0.648,     20,   11218.349,     20, 
00:00:00 01/01/2007,    1280.379,     20,       0.259,     20,  102491.396,     20, 
00:00:00 01/01/2008,    4266.640,     20,      93.226,     20,   79573.969,     20, 
00:00:00 01/01/2009,    2642.029,     20,       4.277,     20,  128839.335,     20, 
00:00:00 01/01/2010,   10773.829,     20,      87.869,     20,  188743.739,     20, 
00:00:00 01/01/2011,   11431.115,     20,      87.048,     20,  490953.229,     20, 
00:00:00 01/01/2012,    8036.167,     20,      37.195,     20,  156665.967,     20, 
00:00:00 01/01/2013,   13578.919,     60,      17.064,     60,  799200.005,     60, 
00:00:00 01/01/2014,    1179.796,     20,       4.752,     20,   68642.684,     20, 
00:00:00 01/01/2015,    3306.213,     30,      78.926,     30,  216014.041,     30, 
00:00:00 01/01/2016,     752.732,     20,       3.888,     20,   30253.047,     20, 
00:00:00 01/01/2017,    3136.517,     20,       0.000,     20,  101356.057,     20, 
00:00:00 01/01/2018,    2495.047,     20,      16.891,     20,   67833.893,     20, 
00:00:00 01/01/2019,     588.680,     20,       0.000,     20,   18831.010,     20, 
00:00:00 01/01/2020,    1216.027,     30,       0.000,     30,   60039.836,     30, 
00:00:00 01/01/2021,    1640.093,     30,       8.640,     30,   39960.907,     30, 
00:00:00 01/01/2022,   19767.016,     20,     524.318,     20,  742863.014,     20, 
00:00:00 01/01/2023,     220.369,     20,       0.994,     20,    3969.994,     20, 
00:00:00 01/01/2024,    6044.752,     20,     187.488,     20,  130733.396,     20, 
00:00:00 01/01/2025,"",    255,"",    255,"",    255, 

Data use licence: https://water-monitoring.information.qld.gov.au/wini/documents/copyright.pdf
Glossary of terms, abbreviations and metadata: https://water-monitoring.information.qld.gov.au/wini/documents/webglossary.pdf
