"Time","125016A","","125016A","","125016A","",""
"and","141.00","","141.00","","141.00","",""
"Date","Discharge (ML/day)","","Discharge (ML/day)","","Discharge (ML/day)","",""
"Date and time","Mean","Quality","Min","Quality","Max","Quality","Comments"
00:00:00 01/01/2005,"",    255,"",    255,"",    255,Sites:
00:00:00 01/01/2006,     182.432,     30,       0.000,     30,    3989.650,     30,125016A - Pioneer River at Dumbleton Weir Tailwater Lat:-21.1419305 Long:149.0760833 Elev:10m
00:00:00 01/01/2007,    2582.213,     60,       0.000,     60,  267945.583,     60, 
00:00:00 01/01/2008,    3616.846,     60,       0.130,     60,  300979.500,     60,Variables:
00:00:00 01/01/2009,    2484.927,     60,       0.778,     60,  158610.702,     60,140 - Stream Discharge (Cumecs)
00:00:00 01/01/2010,    7456.565,     20,      26.352,     20,  261118.427,     20,141 - Stream Discharge (Megalitres/Day)
00:00:00 01/01/2011,    5579.763,     60,       0.000,     60,  331259.244,     60, 
00:00:00 01/01/2012,    3832.139,     60,       0.000,     60,  225505.600,     60,Qualities:
00:00:00 01/01/2013,    2893.774,     60,       0.000,     60,  134254.628,     60,20 - Fair
00:00:00 01/01/2014,    1569.847,     60,       5.702,     60,   88574.386,     60,30 - Poor
00:00:00 01/01/2015,     335.707,     30,       6.826,     30,   33032.059,     30,40 - Unverified data
00:00:00 01/01/2016,    1528.359,     30,       7.430,     30,  130169.118,     30,60 - Estimate
00:00:00 01/01/2017,    3665.126,     30,       0.475,     30,  549171.493,     30,160 - Suspect
00:00:00 01/01/2018,     618.142,     20,       0.000,     20,   54658.930,     20,255 - No data exists
00:00:00 01/01/2019,    2945.177,     20,       0.000,     20,  136297.513,     20, 
00:00:00 01/01/2020,    1081.980,     20,       0.000,     20,   89019.044,     20, 
00:00:00 01/01/2021,     717.823,     40,       0.259,     40,   54090.591,     40, 
00:00:00 01/01/2022,     680.984,     40,       0.000,     40,   29833.834,     40, 
00:00:00 01/01/2023,    1940.257,     30,       1.037,     30,  237156.510,     30, 
00:00:00 01/01/2024,    1725.061,     30,       0.000,     30,   64310.372,     30, 
00:00:00 01/01/2025,"",    160,"",    160,"",    160, 

Data use licence: https://water-monitoring.information.qld.gov.au/wini/documents/copyright.pdf
Glossary of terms, abbreviations and metadata: https://water-monitoring.information.qld.gov.au/wini/documents/webglossary.pdf
