"Time","113006A","","113006A","","113006A","",""
"and","141.00","","141.00","","141.00","",""
"Date","Discharge (ML/day)","","Discharge (ML/day)","","Discharge (ML/day)","",""
"Date and time","Mean","Quality","Min","Quality","Max","Quality","Comments"
00:00:00 01/01/1972,"",    255,"",    255,"",    255,Sites:
00:00:00 01/01/1973,   11009.180,      9,     964.181,      9,   85502.305,      9,113006A - Tully River at Euramo Lat:-17.99213889 Long:145.94247222 Elev:8.76m
00:00:00 01/01/1974,   11205.329,     59,    1137.542,     59,   81115.431,     59, 
00:00:00 01/01/1975,    9628.870,     59,    1842.566,     59,   71896.724,     59,Variables:
00:00:00 01/01/1976,    7638.570,     59,    1137.542,     59,   56610.058,     59,140 - Stream Discharge (Cumecs)
00:00:00 01/01/1977,   12032.460,     59,    1147.349,     59,   90819.145,     59,141 - Stream Discharge (Megalitres/Day)
00:00:00 01/01/1978,    5959.969,      9,    1223.813,      9,   57812.141,      9, 
00:00:00 01/01/1979,   13003.101,     59,     654.350,     59,   87329.578,     59,Qualities:
00:00:00 01/01/1980,    5929.985,     59,    1036.800,     59,   79551.461,     59,9 - CITEC - Normal Reading
00:00:00 01/01/1981,   12250.093,      9,    2175.206,      9,   87126.149,      9,10 - Good
00:00:00 01/01/1982,    7426.449,     59,     980.078,     59,   91026.289,     59,20 - Fair
00:00:00 01/01/1983,    4637.617,      9,     839.635,      9,   48120.394,      9,59 - CITEC - Derived Height
00:00:00 01/01/1984,    7020.296,      9,     794.621,      9,   73408.205,      9,60 - Estimate
00:00:00 01/01/1985,    7354.589,     59,     928.930,     59,   70603.229,     59,69 - CITEC - Derived Discharge
00:00:00 01/01/1986,    7741.701,     79,     891.994,     79,   89992.685,     79,79 - CITEC - Backwater Record
00:00:00 01/01/1987,    6265.232,     79,     586.008,     79,   62301.831,     79,130 - Not coded value
00:00:00 01/01/1988,    7026.411,     60,    1230.595,     60,   45407.779,     60,140 - Interim value
00:00:00 01/01/1989,   10555.631,     60,    1230.595,     60,   72843.365,     60,151 - Data not yet available
00:00:00 01/01/1990,    7452.445,     59,     736.387,     59,   89601.293,     59,255 - No data exists
00:00:00 01/01/1991,    8733.413,     60,     708.912,     60,   83700.173,     60, 
00:00:00 01/01/1992,    2964.297,     60,     464.443,     60,   36118.570,     60, 
00:00:00 01/01/1993,    5784.262,     60,     935.410,     60,   58373.828,     60, 
00:00:00 01/01/1994,    7071.825,     60,    1201.824,     60,   86922.980,     60, 
00:00:00 01/01/1995,    6035.516,     60,    1158.667,     60,   63641.938,     60, 
00:00:00 01/01/1996,    7272.209,     59,    1174.090,     59,   83700.173,     59, 
00:00:00 01/01/1997,"",    255,"",    255,"",    255, 
00:00:00 01/01/1998,   10051.460,     59,    3193.474,     59,   89326.887,     59, 
00:00:00 01/01/1999,   13172.161,      9,    2353.493,      9,   91145.348,      9, 
00:00:00 01/01/2000,   14183.418,     59,    1737.072,     59,   86362.805,     59, 
00:00:00 01/01/2001,    8507.391,     10,     998.957,     10,   76972.724,     10, 
00:00:00 01/01/2002,    3042.465,     59,     314.323,     59,   34755.567,     59, 
00:00:00 01/01/2003,    4297.208,      9,     378.432,      9,   43515.835,      9, 
00:00:00 01/01/2004,    9067.240,     59,     561.600,     59,   82302.437,     59, 
00:00:00 01/01/2005,    5973.952,     20,    1073.477,     20,   48509.237,     20, 
00:00:00 01/01/2006,   10735.507,    140,    1268.438,    140,   83750.069,    140, 
00:00:00 01/01/2007,   10548.640,    140,    1242.432,    140,   85931.410,    140, 
00:00:00 01/01/2008,    8617.025,     60,    1744.070,     60,   82998.865,     60, 
00:00:00 01/01/2009,    9597.013,     79,     724.939,     79,   90933.970,     79, 
00:00:00 01/01/2010,   12215.705,     60,    1211.630,     60,   83034.591,     60, 
00:00:00 01/01/2011,   14059.341,     60,    1018.440,     60,   86009.732,     60, 
00:00:00 01/01/2012,    8040.004,     60,     599.832,     60,   66799.167,     60, 
00:00:00 01/01/2013,    8102.494,     60,    1123.978,     60,   86578.546,     60, 
00:00:00 01/01/2014,"",    151,"",    151,"",    151, 
00:00:00 01/01/2015,    5335.700,     60,     503.798,     60,   62675.943,     60, 
00:00:00 01/01/2016,    6679.470,     60,     807.322,     60,   59030.727,     60, 
00:00:00 01/01/2017,    7675.759,     60,     828.101,     60,   84837.802,     60, 
00:00:00 01/01/2018,    9892.762,     60,     406.685,     60,   89267.012,     60, 
00:00:00 01/01/2019,    9562.512,    130,    1014.984,    130,   61801.013,    130, 
00:00:00 01/01/2020,    5788.759,     60,     957.269,     60,   59504.631,     60, 
00:00:00 01/01/2021,   10767.766,     60,    1274.789,     60,   71588.189,     60, 
00:00:00 01/01/2022,    8174.586,    130,    1216.123,    130,   61189.388,    130, 
00:00:00 01/01/2023,   10398.710,     69,    1729.598,     69,   88789.090,     69, 
00:00:00 01/01/2024,   13173.901,     69,    1710.072,     69,   85045.033,     69, 
00:00:00 01/01/2025,"",    255,"",    255,"",    255, 

Data use licence: https://water-monitoring.information.qld.gov.au/wini/documents/copyright.pdf
Glossary of terms, abbreviations and metadata: https://water-monitoring.information.qld.gov.au/wini/documents/webglossary.pdf
